|     Tipo Atração     |                   Nome                   |        Local         |     Coordenadas      | Distância [M]  |    Fuso-horário     |
|       Tourism        |                 Cruzeiro                 |        Anadia        |     40.49, -8.47     |      2441      | Europe/Lisbon:00:00 |
|       Tourism        |              Lagoa do Paúl               |        Anadia        |     40.48, -8.5      |      2745      | Europe/Lisbon:00:00 |
|    Accommodation     |          Estalagem de Sangalhos          |        Anadia        |     40.48, -8.46     |      4208      | Europe/Lisbon:00:00 |
|       Tourism        |              Wayside shrine              |        Anadia        |     40.48, -8.45     |      4797      | Europe/Lisbon:00:00 |
|       Tourism        |   Carta de Foral de Oliveira do Bairro   |  Oliveira do Bairro  |     40.51, -8.5      |      1469      | Europe/Lisbon:00:00 |
|       Tourism        |           Bordalo II - Cegonha           |  Oliveira do Bairro  |     40.51, -8.49     |      1624      | Europe/Lisbon:00:00 |
|    Accommodation     |              Hotel Paraíso               |  Oliveira do Bairro  |     40.51, -8.49     |      1775      | Europe/Lisbon:00:00 |
|       Tourism        |       Baloiço dos Pinheiros Mansos       |  Oliveira do Bairro  |     40.51, -8.48     |      1814      | Europe/Lisbon:00:00 |
|       Tourism        |                Cristo Rei                |  Oliveira do Bairro  |     40.54, -8.51     |      4873      | Europe/Lisbon:00:00 |
|    Accommodation     |             Pensão Parreira              |        Águeda        |     40.51, -8.45     |      4560      | Europe/Lisbon:00:00 |

Foram encontradas 10 atrações segundo as categorias indicadas!
A distância média às atrações é de 3031 m
